bin,rmse_log_model,rmse_log_pers,mae_log_model,mae_log_pers,rmse_mg_model,rmse_mg_pers,mae_mg_model,mae_mg_pers,skill_log_pct,skill_mg_pct,bin_label
0,0.9218755,0.8014537,0.7135746,0.53518987,5.0155463,4.849587,2.3754015,1.6783565,-15.025413036346436,-3.4221291542053223,<Q1(1.13)
1,0.90243345,0.83177847,0.70730007,0.57352626,5.6637306,5.600704,2.8180807,2.1613836,-8.4944486618042,-1.125335693359375,Q1-Q2(1.13-1.43)
2,0.91761035,0.92799747,0.7093784,0.651107,6.3962827,6.693986,3.3109212,2.847881,1.1193037033081055,4.4473230838775635,Q2-Q3(1.43-1.97)
3,0.9014221,0.97301406,0.7072889,0.7002486,7.240498,7.6689625,4.0004396,3.7067301,7.357752323150635,5.58699369430542,>=Q3(1.97)
