month,rmse_log_model,rmse_log_pers,mae_log_model,mae_log_pers,rmse_mg_model,rmse_mg_pers,mae_mg_model,mae_mg_pers,skill_log_pct,skill_mg_pct
1,0.72192377,0.6525371,0.5891449,0.46189708,2.7023318,2.399856,1.479168,1.02606,-10.633361339569092,-12.603914737701416
2,0.7751078,0.72162515,0.626166,0.5203832,3.3867524,3.144046,1.7661352,1.3067161,-7.4114203453063965,-7.719552516937256
3,0.89686173,0.93523633,0.71867883,0.67023534,5.578354,6.091057,3.0002112,2.7426257,4.103195667266846,8.417308330535889
4,1.0557792,1.0771154,0.8528811,0.7819233,7.703201,8.413846,4.397242,4.076477,1.9808650016784668,8.446139097213745
5,1.0939416,1.0782099,0.8754308,0.7658405,8.267768,8.815508,4.6530285,4.0878835,-1.459062099456787,6.213366985321045
6,1.0355539,1.0229503,0.8130467,0.7155772,7.908659,8.233273,4.3354573,3.6439385,-1.2320876121520996,3.942704200744629
7,0.98292,0.9223026,0.74632764,0.62658656,6.92907,6.883303,3.5342872,2.7722874,-6.572401523590088,-0.6649017333984375
8,0.8988774,0.899845,0.6778982,0.60523695,6.540207,6.585663,3.2191296,2.616054,0.10753273963928223,0.690227746963501
9,0.8783339,0.8838397,0.66065043,0.6206482,6.496499,6.51574,3.4519436,3.0043993,0.6229400634765625,0.2952992916107178
10,0.8698619,0.8392559,0.6617057,0.5804191,6.127573,6.0012326,3.1982079,2.6122599,-3.6468029022216797,-2.105236053466797
11,0.8653796,0.7921227,0.6772203,0.5582613,5.3431945,5.1077747,2.7715747,2.1357012,-9.248173236846924,-4.609048366546631
12,0.7886463,0.7006122,0.6232463,0.48547322,3.9740777,3.8453429,1.913911,1.3666877,-12.565314769744873,-3.3478140830993652
