bin,n,rmse,bias,rho,kge
low,344306,2.2031022740267363,-0.84723336,0.6329484011321357,-11.857232162951385
mid,344305,3.5329321171630825,-1.7321689,0.24516831694114832,-12.505745260843046
high,344305,5.076492563636553,-2.5300417,0.2832905534985433,-5.173887340256063
very_high,344306,10.367782840149953,-0.79428554,0.37814797536599626,0.3738540853152781
