subset,rmse_log_model,rmse_log_pers,mae_log_model,mae_log_pers,rmse_mg_model,rmse_mg_pers,mae_mg_model,mae_mg_pers,skill_log_pct,skill_mg_pct
train,0.921145,0.8929321,0.71809125,0.61746156,6.242525,6.4009185,3.1811337,2.6356332,-3.1595826148986816,2.4745404720306396
val,0.8788826,0.85484964,0.684919,0.59684837,5.8012943,5.885742,2.9418874,2.396879,-2.8113603591918945,1.4347851276397705
test,0.8952229,0.88944817,0.6937968,0.6245597,5.968666,6.223857,3.0663881,2.653096,-0.6492495536804199,4.100203514099121
all,0.91089016,0.88636345,0.709388,0.61506695,6.1358995,6.2957883,3.126575,2.5991051,-2.7671217918395996,2.539616823196411
