epoch,step,train_loss_epoch,train_loss_step,val_loss
0,49,,3.088059186935425,
0,99,,3.3272175788879395,
0,149,,3.2732460498809814,
0,199,,3.2634129524230957,
0,249,,3.3280677795410156,
0,299,,3.234135150909424,
0,349,,3.187340259552002,
0,399,,3.260242223739624,
0,449,,3.2993850708007812,
0,499,,3.3950531482696533,
0,549,,3.101996898651123,
0,599,,3.2384839057922363,
0,649,,3.369389295578003,
0,699,,3.178375720977783,
0,749,,3.3144445419311523,
0,799,,3.2294747829437256,
0,849,,3.1780943870544434,
0,899,,3.098545551300049,
0,949,,3.2890310287475586,
0,999,,3.25285005569458,
0,1049,,3.1190025806427,
0,1099,,3.0205752849578857,
0,1149,,3.075122833251953,
0,1199,,3.2522757053375244,
0,1249,,2.9953651428222656,
0,1299,,3.3859212398529053,
0,1349,,3.3109827041625977,
0,1399,,3.257072925567627,
0,1449,,3.4516968727111816,
0,1499,,3.0344412326812744,
0,1549,,3.224245548248291,
0,1599,,3.235954999923706,
0,1649,,3.228516101837158,
0,1699,,3.1575090885162354,
0,1749,,3.232046604156494,
0,1799,,3.1444077491760254,
0,1849,,3.112590789794922,
0,1899,,3.150862455368042,
0,1949,,3.1797633171081543,
0,1999,,3.207426071166992,
0,2049,,3.312953472137451,
0,2099,,2.8878183364868164,
0,2149,,3.162069320678711,
0,2199,,3.2169313430786133,
0,2249,,3.0761308670043945,
0,2299,,3.26895809173584,
0,2349,,3.255750894546509,
0,2399,,3.0963053703308105,
0,2449,,3.201988697052002,
0,2499,,3.3517379760742188,
0,2549,,3.017666816711426,
0,2599,,3.1420373916625977,
0,2649,,3.2872960567474365,
0,2699,,3.1825013160705566,
0,2749,,3.427706718444824,
0,2799,,3.366173505783081,
0,2849,,3.1616129875183105,
0,2899,,3.3952126502990723,
0,2949,,3.269468307495117,
0,2999,,3.3223929405212402,
0,3049,,3.123260021209717,
0,3099,,3.324861526489258,
0,3149,,2.9398083686828613,
0,3199,,3.2184860706329346,
0,3249,,3.171541929244995,
0,3299,,3.316927433013916,
0,3349,,3.2718372344970703,
0,3399,,3.236654281616211,
0,3449,,3.2372827529907227,
0,3499,,3.440119504928589,
0,3549,,3.230546474456787,
0,3599,,3.1039018630981445,
0,3649,,3.3240504264831543,
0,3699,,3.2966079711914062,
0,3749,,3.2869691848754883,
0,3766,,,1.9427757263183594
0,3766,3.228743076324463,,
1,3799,,3.304391622543335,
1,3849,,3.3319602012634277,
1,3899,,3.2028496265411377,
1,3949,,3.2448501586914062,
1,3999,,3.3706345558166504,
1,4049,,3.0714030265808105,
1,4099,,3.4657211303710938,
1,4149,,3.454531669616699,
1,4199,,3.154799461364746,
1,4249,,3.030456066131592,
1,4299,,3.092528820037842,
1,4349,,3.240243434906006,
1,4399,,3.2013306617736816,
1,4449,,3.2842655181884766,
1,4499,,3.1281650066375732,
1,4549,,3.177905321121216,
1,4599,,3.1692283153533936,
1,4649,,3.16487979888916,
1,4699,,3.2227706909179688,
1,4749,,3.1823062896728516,
1,4799,,3.103604316711426,
1,4849,,3.468689441680908,
1,4899,,3.106739044189453,
1,4949,,3.157496929168701,
1,4999,,3.158172845840454,
1,5049,,3.080322742462158,
1,5099,,3.318284511566162,
1,5149,,3.167759656906128,
1,5199,,3.421151638031006,
1,5249,,3.5341031551361084,
1,5299,,3.274735450744629,
1,5349,,3.2675633430480957,
1,5399,,3.1401379108428955,
1,5449,,3.1728973388671875,
1,5499,,3.388660430908203,
1,5549,,3.3547048568725586,
1,5599,,3.0300755500793457,
1,5649,,3.0879311561584473,
1,5699,,3.129042625427246,
1,5749,,3.0733532905578613,
1,5799,,3.327622890472412,
1,5849,,3.3531370162963867,
1,5899,,3.281017780303955,
1,5949,,3.0203323364257812,
1,5999,,3.2516303062438965,
1,6049,,3.309340476989746,
1,6099,,3.348358392715454,
1,6149,,3.2312240600585938,
1,6199,,3.3474173545837402,
1,6249,,3.3974761962890625,
1,6299,,3.1947076320648193,
1,6349,,3.2684054374694824,
1,6399,,3.0725159645080566,
1,6449,,3.3516321182250977,
1,6499,,3.280522108078003,
1,6549,,3.4117002487182617,
1,6599,,3.160311222076416,
1,6649,,3.2018370628356934,
1,6699,,3.14094877243042,
1,6749,,3.1581928730010986,
1,6799,,3.1284749507904053,
1,6849,,3.021714210510254,
1,6899,,3.440807819366455,
1,6949,,3.093528985977173,
1,6999,,3.187288522720337,
1,7049,,3.3152928352355957,
1,7099,,3.1748061180114746,
1,7149,,3.1127824783325195,
1,7199,,3.055593967437744,
1,7249,,3.22163724899292,
1,7299,,3.1982171535491943,
1,7349,,3.148350477218628,
1,7399,,3.2145602703094482,
1,7449,,3.337921619415283,
1,7499,,3.1810038089752197,
1,7533,,,1.9388933181762695
1,7533,3.2278621196746826,,
2,7549,,3.210364818572998,
2,7599,,3.275705099105835,
2,7649,,3.2402191162109375,
2,7699,,3.3003745079040527,
2,7749,,3.282463788986206,
2,7799,,3.3175907135009766,
2,7849,,3.06816029548645,
2,7899,,3.205573081970215,
2,7949,,3.2495274543762207,
2,7999,,3.207348346710205,
2,8049,,3.267913579940796,
2,8099,,3.1874241828918457,
2,8149,,3.544997453689575,
2,8199,,3.239469051361084,
2,8249,,3.1701509952545166,
2,8299,,3.147836923599243,
2,8349,,3.2030038833618164,
2,8399,,3.2789132595062256,
2,8449,,3.184948444366455,
2,8499,,3.081016778945923,
2,8549,,3.180023193359375,
2,8599,,3.2807650566101074,
2,8649,,3.186889171600342,
2,8699,,3.177694082260132,
2,8749,,3.2535510063171387,
2,8799,,3.1198649406433105,
2,8849,,3.2248237133026123,
2,8899,,2.920675754547119,
2,8949,,3.0986268520355225,
2,8999,,3.0766234397888184,
2,9049,,3.1483473777770996,
2,9099,,3.1302528381347656,
2,9149,,3.5518500804901123,
2,9199,,3.1496431827545166,
2,9249,,3.2645137310028076,
2,9299,,3.2199525833129883,
2,9349,,3.3390703201293945,
2,9399,,3.2096290588378906,
