space,RMSE,MAE,Bias,Pearson_r,Spearman_rho,NSE,KGE
linear,0.7562917414093134,0.3118731379508972,0.24449878931045532,0.9983391165733337,0.9983472969572573,0.9851797223091125,0.881070077419281
log,0.0902307148393373,0.0750555619597435,3.6507786717265844e-05,0.9985228776931763,0.998347296949405,0.9943352341651917,0.9493707418441772
