subset,rmse_log_model,rmse_log_pers,mae_log_model,mae_log_pers,rmse_mg_model,rmse_mg_pers,mae_mg_model,mae_mg_pers,skill_log_pct,skill_mg_pct
train,0.0919651,0.89267373,0.076753,0.6173959,0.79736114,6.2984385,0.328974,2.6225932,89.69779,87.34034
val,0.08714744,0.8542554,0.0729004,0.5965567,0.6825633,5.800528,0.28102678,2.3842711,89.79843,88.232735
test,0.08463241,0.8909124,0.06884968,0.6269842,0.60749024,6.1615252,0.26040933,2.6579206,90.50048,90.14059
all,0.09023072,0.8862665,0.07505556,0.61528367,0.7562918,6.2012014,0.31187314,2.5883977,89.81901,87.80411
