space,RMSE,MAE,Bias,Pearson_r,Spearman_rho,NSE,KGE
linear,6.526061995450015,2.9689509868621826,-2.0036911964416504,2.8763897716999054e-05,0.016896770355189075,-0.10407817363739014,-0.5177789926528931
log,1.198995612940585,0.9766963720321655,-3.065151332748428e-08,8.539203554391861e-05,0.016896770355189064,0.0,-0.4141528606414795
