epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_loss
,0.001,0,,,
0,,49,,321.11578369140625,
0,,99,,324.4607238769531,
0,,149,,345.78729248046875,
0,,199,,322.9024658203125,
0,,249,,284.81964111328125,
0,,299,,347.4128112792969,
0,,349,,317.92120361328125,
0,,399,,320.16741943359375,
0,,449,,332.8486022949219,
0,,499,,351.86358642578125,
0,,549,,329.2001953125,
0,,599,,319.1449890136719,
0,,649,,305.76458740234375,
0,,699,,317.10186767578125,
0,,749,,337.93267822265625,
0,,799,,310.3924560546875,
0,,849,,351.92962646484375,
0,,899,,309.78521728515625,
0,,949,,312.41845703125,
0,,999,,310.8975830078125,
0,,1049,,311.74139404296875,
0,,1099,,335.291748046875,
0,,1149,,307.2002258300781,
0,,1199,,318.15869140625,
0,,1249,,335.1190185546875,
0,,1299,,316.7919006347656,
0,,1349,,329.98681640625,
0,,1399,,324.59210205078125,
0,,1449,,324.2946472167969,
0,,1499,,317.14227294921875,
0,,1549,,323.94378662109375,
0,,1599,,318.12945556640625,
0,,1649,,314.9390869140625,
0,,1699,,325.828369140625,
0,,1749,,337.20062255859375,
0,,1799,,331.6556396484375,
0,,1849,,319.9886169433594,
0,,1899,,346.25860595703125,
0,,1949,,329.982421875,
0,,1999,,318.54046630859375,
0,,2049,,341.8999328613281,
0,,2099,,333.3394470214844,
0,,2149,,320.9089660644531,
0,,2199,,306.71258544921875,
0,,2249,,324.52178955078125,
0,,2299,,325.2125244140625,
0,,2349,,321.5357666015625,
0,,2399,,324.1776123046875,
0,,2449,,323.664306640625,
0,,2499,,314.171875,
0,,2549,,324.3460693359375,
0,,2599,,320.82806396484375,
0,,2649,,326.9384460449219,
0,,2699,,349.54150390625,
0,,2749,,319.4572448730469,
0,,2799,,326.99627685546875,
0,,2849,,330.36907958984375,
0,,2899,,314.0209045410156,
0,,2949,,325.8470764160156,
0,,2999,,325.7897644042969,
0,,3049,,317.90447998046875,
0,,3099,,323.9364013671875,
0,,3149,,317.1967468261719,
0,,3199,,328.611572265625,
0,,3249,,316.6107482910156,
0,,3299,,318.7179260253906,
0,,3349,,330.5255126953125,
0,,3399,,338.9728698730469,
0,,3449,,312.20416259765625,
0,,3499,,314.20733642578125,
0,,3549,,343.6134033203125,
0,,3599,,320.92431640625,
0,,3649,,331.4860534667969,
0,,3699,,358.7221984863281,
0,,3749,,326.0007629394531,
0,,3766,,,193.6092071533203
0,,3766,323.1744079589844,,
,0.001,3767,,,
1,,3799,,318.13671875,
1,,3849,,330.98443603515625,
1,,3899,,317.1415710449219,
1,,3949,,324.6485595703125,
1,,3999,,325.21197509765625,
1,,4049,,334.01934814453125,
1,,4099,,322.5893249511719,
1,,4149,,321.78912353515625,
1,,4199,,344.7249450683594,
1,,4249,,317.3309631347656,
1,,4299,,326.20257568359375,
1,,4349,,325.1285095214844,
1,,4399,,326.8742980957031,
1,,4449,,320.9090576171875,
1,,4499,,328.1259765625,
1,,4549,,319.1827392578125,
1,,4599,,319.6429748535156,
1,,4649,,329.98345947265625,
1,,4699,,323.37945556640625,
1,,4749,,304.89361572265625,
1,,4799,,324.8601379394531,
1,,4849,,337.39617919921875,
1,,4899,,322.181396484375,
1,,4949,,338.54864501953125,
1,,4999,,310.03009033203125,
1,,5049,,330.260498046875,
1,,5099,,307.04443359375,
1,,5149,,318.32342529296875,
1,,5199,,327.5966796875,
1,,5249,,347.72320556640625,
1,,5299,,320.3433837890625,
1,,5349,,312.0093688964844,
1,,5399,,334.0252685546875,
1,,5449,,308.934814453125,
1,,5499,,310.9078063964844,
1,,5549,,321.15155029296875,
1,,5599,,315.2857360839844,
