bin,rmse_log_model,rmse_log_pers,mae_log_model,mae_log_pers,rmse_mg_model,rmse_mg_pers,mae_mg_model,mae_mg_pers,skill_log_pct,skill_mg_pct,bin_label
0,0.099932194,0.8015074,0.0827243,0.53573555,0.5269857,4.7943707,0.19112386,1.6804137,87.531975,89.00824,<Q1(1.13)
1,0.08783962,0.83403563,0.0730744,0.5753748,0.6897658,5.5374074,0.26683706,2.1686478,89.468124,87.543526,Q1-Q2(1.13-1.44)
2,0.08638942,0.9260465,0.07197646,0.6499869,0.78857017,6.5491033,0.33145,2.8128767,90.67116,87.959114,Q2-Q3(1.44-1.97)
3,0.08602876,0.97277015,0.07244703,0.700037,0.9552881,7.5683565,0.4580822,3.6916523,91.15631,87.37786,>=Q3(1.97)
