month,rmse,bias
1,0.32147181452783696,0.061248213052749634
2,0.4122480186359268,0.09588126093149185
3,0.6448138224462563,0.21055054664611816
4,0.9543322125269625,0.39056721329689026
5,1.0664244150703632,0.46664854884147644
6,1.0860696067316307,0.4589029848575592
7,0.9115229156865371,0.32207366824150085
8,0.7878511781136924,0.2354980707168579
9,0.7330863684893179,0.2358313500881195
10,0.6805005965023524,0.21945630013942719
11,0.580517740351484,0.16172648966312408
12,0.41408123117940615,0.08578525483608246
