subset,rmse_log_model,rmse_log_pers,mae_log_model,mae_log_pers,rmse_mg_model,rmse_mg_pers,mae_mg_model,mae_mg_pers,skill_log_pct,skill_mg_pct
train,0.8055702,0.89267373,0.59714085,0.6173959,5.211825,6.2984385,2.2524734,2.6225932,9.757603,17.252111
val,0.7701269,0.8542554,0.5694136,0.5965567,4.7521896,5.800528,2.0368745,2.3842711,9.8481655,18.073154
test,0.8051646,0.88887835,0.59408236,0.6242853,5.091966,6.138979,2.2435963,2.6397693,9.41791,17.05516
all,0.79983354,0.8859941,0.5921964,0.6149302,5.1231923,6.1981106,2.2160547,2.5860097,9.7247305,17.342674
