bin,rmse_log_model,rmse_log_pers,mae_log_model,mae_log_pers,rmse_mg_model,rmse_mg_pers,mae_mg_model,mae_mg_pers,skill_log_pct,skill_mg_pct,bin_label
0,0.7569074,0.8006047,0.5532601,0.53446925,3.7559903,4.7752395,1.4379367,1.6707139,5.4580393,21.344465,<Q1(1.13)
1,0.76347667,0.8332163,0.5640201,0.57484967,4.5316224,5.524281,1.8658124,2.1628373,8.369934,17.969013,Q1-Q2(1.13-1.44)
2,0.81786275,0.926734,0.60443866,0.65022755,5.315662,6.57129,2.3681474,2.8209987,11.747837,19.107788,Q2-Q3(1.44-1.97)
3,0.85661197,0.97217774,0.64680797,0.69977176,6.4818473,7.5548306,3.1877193,3.6842835,11.887312,14.202613,>=Q3(1.97)
