bin,rmse_log_model,rmse_log_pers,mae_log_model,mae_log_pers,rmse_mg_model,rmse_mg_pers,mae_mg_model,mae_mg_pers,skill_log_pct,skill_mg_pct,bin_label
0,1.0014834,0.8006047,0.79336995,0.53446925,5.884638,4.7752395,2.710749,1.6707139,-25.09087324142456,-23.23230504989624,<Q1(1.13)
1,0.99483466,0.8332163,0.7992036,0.57484967,6.7656827,5.524281,3.2842214,2.1628373,-19.39692497253418,-22.4717378616333,Q1-Q2(1.13-1.44)
2,1.0063449,0.926734,0.7943891,0.65022755,7.6469254,6.57129,3.8502853,2.8209987,-8.590483665466309,-16.36871099472046,Q2-Q3(1.44-1.97)
3,0.9751805,0.97217774,0.774152,0.69977176,8.377409,7.5548306,4.543305,3.6842835,-0.3088712692260742,-10.888111591339111,>=Q3(1.97)
