month,rmse_log_model,rmse_log_pers,mae_log_model,mae_log_pers,rmse_mg_model,rmse_mg_pers,mae_mg_model,mae_mg_pers,skill_log_pct,skill_mg_pct
1,0.7970314,0.6525371,0.66035277,0.46189708,2.708372,2.399856,1.6311996,1.02606,-22.14345932006836,-12.85560131072998
2,0.85249436,0.7216746,0.7007286,0.5204848,3.391086,3.146747,1.9531695,1.3155047,-18.12725067138672,-7.7648162841796875
3,0.9793356,0.9348432,0.79315597,0.6700605,5.8800087,6.028149,3.3407328,2.7340462,-4.759347438812256,2.4574756622314453
4,1.149538,1.0761381,0.93764037,0.7813391,8.936637,8.275325,5.0594063,4.0470853,-6.8206787109375,-7.991373538970947
5,1.1930283,1.0764201,0.9704777,0.7648,9.882799,8.621326,5.465785,4.043748,-10.83296537399292,-14.631998538970947
6,1.1352566,1.0214977,0.91186583,0.7146594,9.725601,8.037058,5.149012,3.6016805,-11.136484146118164,-21.009469032287598
7,1.075253,0.9213748,0.84321994,0.6260612,8.58885,6.746399,4.185838,2.7467942,-16.70093536376953,-27.310144901275635
8,0.98225343,0.8989185,0.76700157,0.60477155,7.6392198,6.4712243,3.6973674,2.5965083,-9.270572662353516,-18.04906129837036
9,0.9709333,0.88339037,0.7510322,0.6203683,8.293129,6.439484,4.155428,2.9908674,-9.9098801612854,-28.78561019897461
10,0.94313705,0.8386647,0.7329333,0.580144,7.121418,5.9195285,3.6277516,2.5994833,-12.456989288330078,-20.303809642791748
11,0.92464113,0.7918453,0.7349465,0.55815834,5.989343,5.072624,3.0165434,2.1308937,-16.77042245864868,-18.071889877319336
12,0.8502636,0.7004696,0.6841118,0.48540774,4.149609,3.8214874,2.0645392,1.3640835,-21.384799480438232,-8.586227893829346
