subset,rmse_log_model,rmse_log_pers,mae_log_model,mae_log_pers,rmse_mg_model,rmse_mg_pers,mae_mg_model,mae_mg_pers,skill_log_pct,skill_mg_pct
train,1.0056726,0.89267373,0.7999716,0.6173959,7.362231,6.2984385,3.6581159,2.6225932,-12.658464908599854,-16.889774799346924
val,0.962379,0.8542554,0.7641535,0.5965567,6.909951,5.800528,3.415528,2.3842711,-12.657058238983154,-19.126248359680176
test,0.97444946,0.88887835,0.7715914,0.6242853,6.9186783,6.138979,3.5094109,2.6397693,-9.62686538696289,-12.700796127319336
all,0.9945089,0.8859941,0.7902596,0.6149302,7.2309184,6.1981106,3.5982597,2.5860097,-12.247812747955322,-16.663265228271484
