subset,rmse_log_model,rmse_log_pers,mae_log_model,mae_log_pers,rmse_mg_model,rmse_mg_pers,mae_mg_model,mae_mg_pers,skill_log_pct,skill_mg_pct
train,0.81860614,0.89267373,0.60813594,0.6173959,5.196589,6.2984385,2.3011005,2.6225932,8.2972765,17.49401
val,0.7886444,0.8542554,0.58691275,0.5965567,4.7325897,5.800528,2.0784752,2.3842711,7.6804934,18.411053
test,0.8216839,0.88887835,0.61138004,0.6242853,5.0724134,6.138979,2.2920537,2.6397693,7.5594664,17.373663
all,0.81421036,0.8859941,0.60511154,0.6149302,5.10672,6.1981106,2.2635112,2.5860097,8.102054,17.60844
