bin,rmse_log_model,rmse_log_pers,mae_log_model,mae_log_pers,rmse_mg_model,rmse_mg_pers,mae_mg_model,mae_mg_pers,skill_log_pct,skill_mg_pct,bin_label
0,0.77144694,0.8006047,0.5652443,0.53446925,3.7608824,4.7752395,1.4912031,1.6707139,3.641969,21.242016,<Q1(1.13)
1,0.7802282,0.8332163,0.58004797,0.57484967,4.5488243,5.524281,1.9293306,2.1628373,6.3594637,17.657625,Q1-Q2(1.13-1.44)
2,0.83480906,0.926734,0.6195098,0.65022755,5.2930026,6.57129,2.414887,2.8209987,9.919232,19.452608,Q2-Q3(1.44-1.97)
3,0.86634076,0.97217774,0.65540516,0.69977176,6.433496,7.5548306,3.214121,3.6842835,10.886585,14.842617,>=Q3(1.97)
