lat,rmse
32-33,0.6500732976594165
33-34,0.658157030070624
34-35,0.7701963077838038
35-36,0.839655513516212
36-37,0.8909471163570246
37-38,0.7386359518223394
38-39,0.9981365424858095
39-40,0.9627164485853243
40-41,0.8193763113702425
41-42,0.8770187455330285
