subset,rmse_log_model,rmse_log_pers,mae_log_model,mae_log_pers,rmse_mg_model,rmse_mg_pers,mae_mg_model,mae_mg_pers,skill_log_pct,skill_mg_pct
train,0.8064181,0.89267373,0.607429,0.6173959,5.150606,6.2984385,2.24865,2.6225932,9.66261,18.22408
val,0.77036726,0.8542554,0.57910347,0.5965567,4.669778,5.800528,2.03015,2.3842711,9.820026,19.49392
test,0.8062107,0.88887835,0.603936,0.6242853,5.045892,6.138979,2.2511525,2.6397693,9.3002205,17.805683
all,0.800613,0.8859941,0.6023277,0.6149302,5.060858,6.1981106,2.2133064,2.5860097,9.636754,18.348377
