year	rmse	mae	r2
2016	0.2113949706993975	0.1562102735042572	0.6284427642822266
2017	0.20919617054570228	0.15089477598667145	0.6703600883483887
2018	0.21292682654880682	0.1516512781381607	0.6509525775909424
2019	0.23657689518133646	0.17234273254871368	0.6859869956970215
2020	0.20755713626992034	0.15013037621974945	0.6708023548126221
