space,RMSE,MAE,Bias,Pearson_r,Spearman_rho,NSE,KGE
linear,5.118773050221396,2.200955390930176,-0.5953968167304993,0.575584352016449,0.7738339223987994,0.32075071334838867,0.4023669362068176
log,0.7927167520230591,0.5809460282325745,-2.0158921643087524e-07,0.7717781662940979,0.7738339223348135,0.5628798007965088,0.7669439315795898
