subset,rmse_log_model,rmse_log_pers,mae_log_model,mae_log_pers,rmse_mg_model,rmse_mg_pers,mae_mg_model,mae_mg_pers,skill_log_pct,skill_mg_pct
train,0.79866105,0.89267373,0.5851958,0.6173959,5.207316,6.2984385,2.2352033,2.6225932,10.53158,17.323702
val,0.7621511,0.8542554,0.5594113,0.5965567,4.7418737,5.800528,2.0234406,2.3842711,10.781818,18.251001
test,0.80059725,0.88887835,0.58731705,0.6242853,5.099569,6.138979,2.244878,2.6397693,9.931744,16.93132
all,0.79307914,0.8859941,0.58127344,0.6149302,5.1194468,6.1981106,2.201936,2.5860097,10.487085,17.403109
