bin,rmse_log_model,rmse_log_pers,mae_log_model,mae_log_pers,rmse_mg_model,rmse_mg_pers,mae_mg_model,mae_mg_pers,skill_log_pct,skill_mg_pct,bin_label
0,0.74237394,0.8006047,0.53412384,0.53446925,3.7279148,4.7752395,1.4180344,1.6707139,7.273346,21.9324,<Q1(1.13)
1,0.7546164,0.8332163,0.55134106,0.57484967,4.513618,5.524281,1.8447368,2.1628373,9.433317,18.294924,Q1-Q2(1.13-1.44)
2,0.81302774,0.926734,0.5964519,0.65022755,5.305696,6.57129,2.355888,2.8209987,12.269563,19.259447,Q2-Q3(1.44-1.97)
3,0.8566341,0.97217774,0.6428858,0.69977176,6.506765,7.5548306,3.1844282,3.6842835,11.885035,13.87279,>=Q3(1.97)
