bin,rmse_log_model,rmse_log_pers,mae_log_model,mae_log_pers,rmse_mg_model,rmse_mg_pers,mae_mg_model,mae_mg_pers,skill_log_pct,skill_mg_pct,bin_label
0,0.8180053,0.8006047,0.55604935,0.53446925,5.281317,4.7752395,1.8684384,1.6707139,-2.1734357,-10.597956,<Q1(1.13)
1,0.8515124,0.8332163,0.5977273,0.57484967,6.077279,5.524281,2.4042535,2.1628373,-2.195835,-10.010314,Q1-Q2(1.13-1.44)
2,0.94581693,0.926734,0.67433465,0.65022755,7.2243514,6.57129,3.1175911,2.8209987,-2.0591617,-9.938097,Q2-Q3(1.44-1.97)
3,0.9870007,0.97217774,0.72020745,0.69977176,8.108397,7.5548306,3.9815176,3.6842835,-1.5247226,-7.3273063,>=Q3(1.97)
